host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy
1,1,Jamaica Plain,42.3134215,-71.1071186,House,Private room,2,2,1,1,Real Bed,14,2,20,2,7,100,100,flexible
0,1,Jamaica Plain,42.31131397,-71.11617069,Condominium,Entire home/apt,2,1,1,1,Real Bed,19,2,0,2,18,860,96,strict
0,1,Jamaica Plain,42.30557708,-71.11367642,Apartment,Private room,2,1,1,1,Real Bed,12,1,10,1,6,38,94,flexible
1,1,Jamaica Plain,42.31509939,-71.11107897,House,Private room,2,1,1,1,Real Bed,22,1,20,4,55,2196,100,moderate
0,1,Jamaica Plain,42.30361487,-71.12921449,House,Private room,1,1.5,1,1,Real Bed,12,1,0,3,0,0,,moderate
1,1,Jamaica Plain,42.30073404,-71.11431097,Apartment,Private room,2,1,1,1,Real Bed,13,1,0,2,49,848,95,moderate
0,1,Jamaica Plain,42.28965255,-71.11472079,House,Private room,3,1,1,2,Real Bed,14,1,10,2,145,1641,92,moderate
0,1,Jamaica Plain,42.28825811,-71.11306692,House,Entire home/apt,3,1,1,2,Real Bed,17,2,10,2,68,852,93,moderate
1,1,Jamaica Plain,42.31214692,-71.10890828,Condominium,Private room,2,1,1,1,Real Bed,20,1,20,1,5,374,100,strict
1,1,Jamaica Plain,42.31303259,-71.11202441,Loft,Entire home/apt,4,1.5,1,1,Real Bed,17,1,50,1,12,188,100,moderate
0,1,Jamaica Plain,42.32152084,-71.10741009,Apartment,Private room,3,1,1,1,Real Bed,9,2,35,2,5,29,88,strict
0,0,Jamaica Plain,42.30450198,-71.11147205,Apartment,Private room,2,1,1,1,Real Bed,23,1,0,1,9,78,91,flexible
1,1,Jamaica Plain,42.31261825,-71.10620542,House,Private room,1,2,1,1,Real Bed,19,1,20,2,22,100,95,moderate
0,1,Jamaica Plain,42.31246587,-71.10751981,Condominium,Entire home/apt,2,1,1,1,Real Bed,15,1,0,7,2,9,90,strict
0,1,Jamaica Plain,42.29050284,-71.11642164,Apartment,Private room,2,1,1,1,Futon,17,2,50,2,31,488,75,moderate
